method,dataset,hidden,lr,weight_decay,val_rmse,seconds
AutoRec,ml-100k,50,0.003,0.0,0.9393,2.2
AutoRec,ml-100k,50,0.003,1e-05,0.9391,0.8
AutoRec,ml-100k,50,0.003,0.0001,0.9374,0.8
AutoRec,ml-100k,50,0.003,0.001,0.9405,0.8
AutoRec,ml-100k,50,0.003,0.01,1.1093,0.2
AutoRec,ml-100k,50,0.01,0.0,1.1549,0.1
AutoRec,ml-100k,50,0.01,1e-05,1.1548,0.1
AutoRec,ml-100k,50,0.01,0.0001,1.1545,0.1
AutoRec,ml-100k,50,0.01,0.001,1.1508,0.1
AutoRec,ml-100k,50,0.01,0.01,1.1494,0.1
AutoRec,ml-100k,50,0.03,0.0,0.936,0.6
AutoRec,ml-100k,50,0.03,1e-05,0.9328,0.6
AutoRec,ml-100k,50,0.03,0.0001,0.9209,0.5
AutoRec,ml-100k,50,0.03,0.001,0.9091,0.5
AutoRec,ml-100k,50,0.03,0.01,1.1917,0.1
AutoRec,ml-100k,100,0.003,0.0,1.131,0.1
AutoRec,ml-100k,100,0.003,1e-05,1.131,0.1
AutoRec,ml-100k,100,0.003,0.0001,1.1308,0.1
AutoRec,ml-100k,100,0.003,0.001,1.1286,0.1
AutoRec,ml-100k,100,0.003,0.01,1.1226,0.1
AutoRec,ml-100k,100,0.01,0.0,0.9213,0.8
AutoRec,ml-100k,100,0.01,1e-05,0.9202,0.8
AutoRec,ml-100k,100,0.01,0.0001,0.9161,0.8
AutoRec,ml-100k,100,0.01,0.001,0.9042,0.8
AutoRec,ml-100k,100,0.01,0.01,1.0116,0.6
AutoRec,ml-100k,100,0.03,0.0,0.9345,0.6
AutoRec,ml-100k,100,0.03,1e-05,0.9355,0.5
AutoRec,ml-100k,100,0.03,0.0001,0.921,0.6
AutoRec,ml-100k,100,0.03,0.001,0.9029,0.4
AutoRec,ml-100k,100,0.03,0.01,1.0227,0.1
AutoRec,ml-100k,200,0.003,0.0,1.1553,0.1
AutoRec,ml-100k,200,0.003,1e-05,1.1553,0.1
AutoRec,ml-100k,200,0.003,0.0001,1.1552,0.1
AutoRec,ml-100k,200,0.003,0.001,1.1543,0.1
AutoRec,ml-100k,200,0.003,0.01,1.1457,0.1
AutoRec,ml-100k,200,0.01,0.0,1.1645,0.1
AutoRec,ml-100k,200,0.01,1e-05,1.1645,0.1
AutoRec,ml-100k,200,0.01,0.0001,1.1644,0.1
AutoRec,ml-100k,200,0.01,0.001,1.1644,0.1
AutoRec,ml-100k,200,0.01,0.01,0.982,0.5
AutoRec,ml-100k,200,0.03,0.0,0.9296,0.4
AutoRec,ml-100k,200,0.03,1e-05,0.9278,0.4
AutoRec,ml-100k,200,0.03,0.0001,0.9179,0.5
AutoRec,ml-100k,200,0.03,0.001,0.9118,0.3
AutoRec,ml-100k,200,0.03,0.01,0.98,0.3
AutoRec,ml-100k,400,0.003,0.0,0.9076,1.0
AutoRec,ml-100k,400,0.003,1e-05,0.9073,1.0
AutoRec,ml-100k,400,0.003,0.0001,0.9057,1.1
AutoRec,ml-100k,400,0.003,0.001,0.8988,1.2
AutoRec,ml-100k,400,0.003,0.01,0.9544,1.2
AutoRec,ml-100k,400,0.01,0.0,0.9162,0.6
AutoRec,ml-100k,400,0.01,1e-05,0.9158,0.6
AutoRec,ml-100k,400,0.01,0.0001,0.9117,0.6
AutoRec,ml-100k,400,0.01,0.001,0.8978,0.7
AutoRec,ml-100k,400,0.01,0.01,0.9538,1.2
AutoRec,ml-100k,400,0.03,0.0,0.9608,0.5
AutoRec,ml-100k,400,0.03,1e-05,0.9589,0.5
AutoRec,ml-100k,400,0.03,0.0001,0.9436,0.5
AutoRec,ml-100k,400,0.03,0.001,0.9023,0.5
AutoRec,ml-100k,400,0.03,0.01,0.9664,0.3
AutoRec,ml-100k,800,0.003,0.0,0.9128,1.1
AutoRec,ml-100k,800,0.003,1e-05,0.9125,1.2
