method,dataset,p,selective_rmse,best_r,val_rmse,seconds
"Plain MF (numpy, r-only) (rand)",ml-100k,0.0,0.9666,2,0.9555,50.0
"Plain MF (numpy, r-only) (rand)",ml-100k,0.05,0.9674,2,0.9555,50.0
"Plain MF (numpy, r-only) (rand)",ml-100k,0.1,0.9683,2,0.9555,50.0
"Plain MF (numpy, r-only) (rand)",ml-100k,0.2,0.9666,2,0.9555,50.0
"Plain MF (numpy, r-only) (val)",ml-100k,0.0,0.9666,2,0.9555,50.0
"Plain MF (numpy, r-only) (val)",ml-100k,0.05,0.959,2,0.9555,50.0
"Plain MF (numpy, r-only) (val)",ml-100k,0.1,0.9566,2,0.9555,50.0
"Plain MF (numpy, r-only) (val)",ml-100k,0.2,0.9502,2,0.9555,50.0
"Plain MF (numpy, r-only) (supp)",ml-100k,0.0,0.9666,2,0.9555,50.0
"Plain MF (numpy, r-only) (supp)",ml-100k,0.05,0.962,2,0.9555,50.0
"Plain MF (numpy, r-only) (supp)",ml-100k,0.1,0.9604,2,0.9555,50.0
"Plain MF (numpy, r-only) (supp)",ml-100k,0.2,0.9558,2,0.9555,50.0
"Plain MF (numpy, r-only) (rand)",ml-1m,0.0,0.8673,5,0.8715,474.5
"Plain MF (numpy, r-only) (rand)",ml-1m,0.05,0.8673,5,0.8715,474.5
"Plain MF (numpy, r-only) (rand)",ml-1m,0.1,0.8675,5,0.8715,474.5
"Plain MF (numpy, r-only) (rand)",ml-1m,0.2,0.8663,5,0.8715,474.5
"Plain MF (numpy, r-only) (val)",ml-1m,0.0,0.8673,5,0.8715,474.5
"Plain MF (numpy, r-only) (val)",ml-1m,0.05,0.8665,5,0.8715,474.5
"Plain MF (numpy, r-only) (val)",ml-1m,0.1,0.8596,5,0.8715,474.5
"Plain MF (numpy, r-only) (val)",ml-1m,0.2,0.8454,5,0.8715,474.5
"Plain MF (numpy, r-only) (supp)",ml-1m,0.0,0.8673,5,0.8715,474.6
"Plain MF (numpy, r-only) (supp)",ml-1m,0.05,0.8628,5,0.8715,474.6
"Plain MF (numpy, r-only) (supp)",ml-1m,0.1,0.8602,5,0.8715,474.6
"Plain MF (numpy, r-only) (supp)",ml-1m,0.2,0.8554,5,0.8715,474.6
"Plain MF (numpy, r-only) (rand)",douban,0.0,0.768,3,0.7712,603.0
"Plain MF (numpy, r-only) (rand)",douban,0.05,0.7682,3,0.7712,603.0
"Plain MF (numpy, r-only) (rand)",douban,0.1,0.7683,3,0.7712,603.0
"Plain MF (numpy, r-only) (rand)",douban,0.2,0.7684,3,0.7712,603.0
"Plain MF (numpy, r-only) (val)",douban,0.0,0.768,3,0.7712,603.0
"Plain MF (numpy, r-only) (val)",douban,0.05,0.7618,3,0.7712,603.0
"Plain MF (numpy, r-only) (val)",douban,0.1,0.7552,3,0.7712,603.0
"Plain MF (numpy, r-only) (val)",douban,0.2,0.7457,3,0.7712,603.0
"Plain MF (numpy, r-only) (supp)",douban,0.0,0.768,3,0.7712,603.1
"Plain MF (numpy, r-only) (supp)",douban,0.05,0.7638,3,0.7712,603.1
"Plain MF (numpy, r-only) (supp)",douban,0.1,0.7624,3,0.7712,603.1
"Plain MF (numpy, r-only) (supp)",douban,0.2,0.7591,3,0.7712,603.1
"Plain MF (numpy, r-only) (rand)",amazon-games,0.0,1.1737,100,1.183,241.0
"Plain MF (numpy, r-only) (rand)",amazon-games,0.05,1.1735,100,1.183,241.0
"Plain MF (numpy, r-only) (rand)",amazon-games,0.1,1.1714,100,1.183,241.0
"Plain MF (numpy, r-only) (rand)",amazon-games,0.2,1.1742,100,1.183,241.0
"Plain MF (numpy, r-only) (val)",amazon-games,0.0,1.1737,100,1.183,241.0
"Plain MF (numpy, r-only) (val)",amazon-games,0.05,1.1683,100,1.183,241.0
"Plain MF (numpy, r-only) (val)",amazon-games,0.1,1.1583,100,1.183,241.0
"Plain MF (numpy, r-only) (val)",amazon-games,0.2,1.1525,100,1.183,241.0
"Plain MF (numpy, r-only) (supp)",amazon-games,0.0,1.1737,100,1.183,241.0
"Plain MF (numpy, r-only) (supp)",amazon-games,0.05,1.173,100,1.183,241.0
"Plain MF (numpy, r-only) (supp)",amazon-games,0.1,1.1717,100,1.183,241.0
"Plain MF (numpy, r-only) (supp)",amazon-games,0.2,1.1681,100,1.183,241.0
